OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9416602,42711,2011/11/22 10:00:00+00,862.5,,330260000,119  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0034,ZNG-ZONING,ZNG-MALLVN
9416603,42710,2011/11/17 10:00:00+00,2075,,280018000,112 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0033,ZNG-ZONING,ZNG-MALLVN
9416604,42709,2011/10/31 08:00:00+00,1685,,330266000,201  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0032,ZNG-ZONING,ZNG-MALLVN
9416605,42708,2011/10/28 08:00:00+00,845,,330226000,321  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0031,ZNG-ZONING,ZNG-MALLVN
9416606,42707,2011/05/26 08:00:00+00,287,,330233000,103 NE 3rd Street,OPEN,0,Downtown Mall Vendor,,VEN11-0030,ZNG-ZONING,ZNG-MALLVN
9416607,42706,2011/05/04 08:00:00+00,760,,330272000,219  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0029,ZNG-ZONING,ZNG-MALLVN
9416608,42705,2011/05/04 08:00:00+00,1582.5,,330272000,219  W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0028,ZNG-ZONING,ZNG-MALLVN
9416609,42704,2011/05/04 08:00:00+00,2225,,280041000,310  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0027,ZNG-ZONING,ZNG-MALLVN
9416610,42703,2011/04/01 08:00:00+00,1625,,330234000,223 E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0026,ZNG-ZONING,ZNG-MALLVN
9416611,42702,2011/03/25 08:00:00+00,1542.5,,280016000,118 W MAIN STREET,OPEN,0,Downtown Mall Vendor,,VEN11-0025,ZNG-ZONING,ZNG-MALLVN
9416612,42701,2011/03/24 08:00:00+00,1415,,530068000,512  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0024,ZNG-ZONING,ZNG-MALLVN
9416613,42700,2011/03/24 08:00:00+00,6200,,330258000,109 W MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0023,ZNG-ZONING,ZNG-MALLVN
9416615,42698,2011/03/21 08:00:00+00,635,,330231000,108  3RD ST NE,OPEN,0,Downtown Mall Vendor,,VEN11-0021,ZNG-ZONING,ZNG-MALLVN
9416616,42697,2011/03/18 08:00:00+00,602.5,,530068000,520  E MAIN ST,OPEN,0,Downtown Mall Vendor,,VEN11-0020,ZNG-ZONING,ZNG-MALLVN
