OBJECTID,CaseObjectID,AppliedDate,Fee,IssuedDate,ParcelNo,PropertyAddress,Status,Valuation,WorkDescription,BuildingUseCode,PermitNumber,PermitType,PermitSubType
9449960,9281,2011/02/16 10:00:00+00,102.0,2011/02/18 10:00:00+00,330155L00,235 W MAIN ST,ISSUE,0,Wiring,,EN-11-0066,B-CONVERT,B-WIRING
9449968,9273,2011/02/09 10:00:00+00,142.8,2011/02/09 10:00:00+00,280035000,212 E MAIN ST,CLOSED,0,Wiring,,EN-11-0058,B-CONVERT,B-WIRING
9449989,9252,2011/01/25 10:00:00+00,127.5,2011/01/25 10:00:00+00,100051000,1003 W MAIN ST,CLOSED,0,Wiring,,EN-11-0037,B-CONVERT,B-WIRING
9450012,9229,2011/01/11 10:00:00+00,275.4,2011/01/12 10:00:00+00,280043000,320 E MAIN ST,CLOSED,0,Service Upgrade,,EN-11-0014,B-CONVERT,B-SRVUPG
9450018,9223,2011/01/06 10:00:00+00,158.1,2011/01/06 10:00:00+00,280022000,106B  EAST WATER STREET,CLOSED,0,Wiring,,EN-11-0008,B-CONVERT,B-WIRING
9450019,9222,2011/01/06 10:00:00+00,158.1,2011/01/06 10:00:00+00,280022000,107  EAST WATER STREET,CLOSED,0,Wiring,,EN-11-0007,B-CONVERT,B-WIRING
9450052,9189,2010/12/03 10:00:00+00,795.6,2010/12/03 10:00:00+00,280043000,320 EAST MAIN STREET,EXPIRED,0,Wiring,,EN-10-0451,B-CONVERT,B-WIRING
9450096,9145,2010/10/28 08:00:00+00,214.2,2010/10/28 08:00:00+00,280001000,230 W MAIN ST,CLOSED,0,New Service,,EN-10-0407,B-CONVERT,B-NS
9450112,9129,2010/10/18 08:00:00+00,260.1,2010/10/18 08:00:00+00,320179000,417  WEST MAIN STREET,ISSUE,0,Wiring,,EN-10-0391,B-CONVERT,B-WIRING
9450171,9070,2010/09/01 08:00:00+00,127.5,2010/09/01 08:00:00+00,530080000,605 EAST MAIN STREET,ISSUE,0,Wiring,,EN-10-0332,B-CONVERT,B-WIRING
9450177,9064,2010/08/27 08:00:00+00,158.1,2010/08/27 08:00:00+00,280023000,110-112 EAST MAIN STREET,ISSUE,0,Wiring,,EN-10-0326,B-CONVERT,B-WIRING
9450206,9035,2010/08/13 08:00:00+00,158.1,2010/08/13 08:00:00+00,320167000,611 WEST MAIN STREET,CLOSED,0,Wiring,,EN-10-0297,B-CONVERT,B-WIRING
9450213,9028,2010/08/10 08:00:00+00,178.5,2010/08/11 08:00:00+00,280084190,250 WEST MAIN STREET #701,EXPIRED,0,Wiring,,EN-10-0290,B-CONVERT,B-WIRING
9450218,9023,2010/08/09 08:00:00+00,127.5,2010/08/09 08:00:00+00,280043000,320 EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0285,B-CONVERT,B-WIRING
9450296,8945,2010/06/22 08:00:00+00,77.52,2010/06/22 08:00:00+00,280018000,112  WEST MAIN STREET STE 4,CLOSED,0,Wiring,,EN-10-0207,B-CONVERT,B-WIRING
9450332,8909,2010/06/03 08:00:00+00,158.1,2010/06/03 08:00:00+00,280051000,420 EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0171,B-CONVERT,B-WIRING
9450336,8905,2010/05/26 08:00:00+00,142.8,2010/05/27 08:00:00+00,330272000,219 WEST MAIN STREET,CLOSED,0,Wiring,,EN-10-0167,B-CONVERT,B-WIRING
9450344,8897,2010/05/20 08:00:00+00,158.1,2010/05/20 08:00:00+00,280022000,106 EAST MAIN STREET,CLOSED,0,Wiring,,EN-10-0159,B-CONVERT,B-WIRING
9450352,8889,2010/05/18 08:00:00+00,401.0,2010/05/19 08:00:00+00,530080000,605 E MAIN ST& 7TH STREET N E,ISSUE,0,Wiring,,EN-10-0151,B-CONVERT,B-WIRING
9450383,8858,2010/04/20 08:00:00+00,244.8,2010/04/26 08:00:00+00,100020000,1223 WEST MAIN STREET,CLOSED,0,Wiring,,EN-10-0120,B-CONVERT,B-WIRING
